,pm1,pm10,pm25,latitude,longitude,dochod_bud_pra_9,dochod_bud_pra_16,dochod_bud_pra_25,populacja_razem_9,populacja_razem_16,populacja_razem_25,budynki_all_9,budynki_all_16,budynki_all_25,budynki_mieszkalne_9,budynki_mieszkalne_16,budynki_mieszkalne_25,Przystanek autobusowy_1000,Przystanek autobusowy_2000,Oddział Banku_1000,Oddział Banku_2000,Przystanek tramwajowy_1000,Przystanek tramwajowy_2000,Hipermarket_1000,Hipermarket_2000,Stacja Paliw_1000,Stacja Paliw_3000,elevation
218,33.10051993067591,38.20797227036395,59.63258232235702,50.042476,19.826992999999998,50046,82230,110023,1180,1910,2186,400,565,589,349,493,516,7,10,0,0,0,0,0,0,1,2,228
219,28.564685314685313,31.81118881118881,50.58391608391609,50.107347,20.045773,31062,47915,61521,934,993,1061,64,81,110,50,64,83,2,22,0,0,0,1,0,0,0,2,224
220,32.46153846153846,35.429338103756706,56.46153846153846,50.079671999999995,19.949189999999998,41179,67851,98035,2335,3858,6641,140,223,433,110,164,330,14,91,0,2,6,31,0,2,2,15,214
221,27.718232044198896,31.108655616942908,50.3683241252302,50.085346,20.007551,39672,69865,108941,7683,13879,21175,136,204,297,38,69,111,25,63,0,3,6,42,1,3,4,16,220
222,38.440207972270365,41.84055459272097,61.45753899480069,50.040717,19.869575,29218,43513,68109,308,375,488,112,141,186,96,123,158,6,8,0,0,0,0,0,0,0,2,204
223,32.4159445407279,36.74696707105719,56.726169844020795,50.025251000000004,19.937998,43566,73366,106837,3190,4505,6674,465,638,821,417,563,705,10,47,0,2,10,31,0,4,2,18,223
225,34.636048526863085,38.13344887348354,55.429809358752166,50.020756,19.844076,31764,50804,72696,222,315,417,121,156,194,94,126,153,0,0,0,0,0,0,0,0,0,2,209
226,30.67937608318891,34.26343154246101,53.74350086655112,49.99848,19.902375,34645,64314,95132,2465,5150,6945,214,465,689,191,403,598,9,32,0,0,0,0,0,0,0,4,247
228,30.527874564459932,34.13066202090592,53.890243902439025,50.013156,19.906306,45928,77577,120938,3683,4418,5119,332,487,611,310,438,536,10,46,0,0,0,16,0,2,1,6,232
263,25.859519408502774,27.510166358595193,44.70425138632163,49.999615000000006,19.966073,27534,52707,88100,229,535,1019,80,170,265,67,140,217,6,35,0,0,0,6,0,1,0,5,245
622,36.47140381282496,41.665511265164646,71.17677642980937,50.044418,19.9522,44076,79281,125866,5511,8076,11218,457,657,896,304,436,588,18,55,0,1,12,56,0,1,2,15,204
713,20.061674008810574,22.599118942731277,40.36563876651982,50.032902,19.90093,41947,61785,92110,1492,1976,2171,279,346,403,246,305,347,5,31,0,1,6,19,1,2,1,11,205
808,38.05871886120996,44.33274021352313,75.3950177935943,50.09697,19.914773999999998,38898,76595,118333,582,1486,3370,130,360,484,112,312,414,3,41,0,1,0,3,0,1,0,10,222
857,33.59792027729636,41.310225303292896,88.96707105719237,50.037663,19.990601,44595,71066,112015,2700,3163,5405,351,446,516,316,389,441,17,54,0,0,7,18,0,0,1,12,200
895,35.10571923743501,42.211438474870015,70.84055459272098,50.084965999999994,19.877998,48074,74255,121391,1341,1959,3153,302,422,552,242,330,423,16,32,0,0,4,8,0,1,0,7,225
