0,longitude,latitude,dochod_bud_pra_9,dochod_bud_pra_16,dochod_bud_pra_25,populacja_razem_9,populacja_razem_16,populacja_razem_25,budynki_all_9,budynki_all_16,budynki_all_25,budynki_mieszkalne_9,budynki_mieszkalne_16,budynki_mieszkalne_25,Przystanek autobusowy_1000,Przystanek autobusowy_2000,Oddział Banku_1000,Oddział Banku_2000,Przystanek tramwajowy_1000,Przystanek tramwajowy_2000,Hipermarket_1000,Hipermarket_2000,Stacja Paliw_1000,Stacja Paliw_3000,elevation
45,19.964281,50.042297600000005,37996,70429,103675,1056,2787,5014,188,349,603,111,205,363,15,64,0,1,13,43,0,1,3,15,200
46,19.9917386,50.042297600000005,46986,81600,125409,3441,4752,8564,165,398,562,122,335,475,20,44,0,0,6,15,0,0,1,14,197
47,20.0191962,50.042297600000005,27467,59130,87050,128,348,552,58,122,182,42,93,143,9,26,0,0,0,1,0,0,0,5,195
48,20.0466538,50.042297600000005,38603,66529,90131,311,584,751,100,178,229,85,153,195,6,14,0,0,0,0,0,0,0,0,197
49,20.074111399999996,50.042297600000005,32960,51247,74311,283,431,567,74,114,157,67,99,135,0,3,0,0,0,0,0,0,0,0,194
50,19.826993,50.053252,27738,33940,50722,62,66,214,26,30,81,22,25,73,1,9,0,0,0,0,0,0,0,2,288
51,19.854450600000003,50.053252,16230,16230,16230,1,1,1,4,4,4,1,1,1,2,12,0,0,0,0,0,0,0,1,347
52,19.8819082,50.053252,11340,28805,62364,34,125,466,9,41,147,8,37,132,1,19,0,0,0,1,0,0,0,3,229
53,19.9093658,50.053252,47703,81177,123645,1411,2646,5272,273,389,568,239,329,461,14,50,0,2,7,26,0,0,1,10,228
54,19.9368234,50.053252,44231,79080,124197,3102,7299,12711,257,617,1414,173,431,750,16,70,1,3,28,80,0,1,1,13,210
55,19.964281,50.053252,35817,64129,104110,663,2415,4293,30,139,273,18,64,133,10,59,0,1,14,74,0,1,1,17,196
56,19.9917386,50.053252,18255,40506,58938,1154,2053,2386,16,67,120,10,51,96,8,40,0,0,0,27,0,2,2,15,197
57,20.0191962,50.053252,29190,46153,70260,93,114,193,45,84,152,28,58,122,1,25,0,0,0,4,0,1,0,11,197
58,20.0466538,50.053252,24964,48299,70100,511,844,1038,162,261,352,140,229,294,1,13,0,0,0,5,0,0,0,6,195
59,20.074111399999996,50.053252,4354,22261,39721,0,79,139,0,30,53,0,25,44,0,3,0,0,0,11,0,0,0,2,193
60,19.826993,50.0642064,35773,63180,88953,157,462,847,58,150,258,49,126,223,1,1,0,0,0,0,0,0,0,1,255
61,19.854450600000003,50.0642064,31940,58351,90416,288,836,1342,97,300,469,84,272,420,0,3,0,0,0,0,0,0,0,1,281
62,19.8819082,50.0642064,48406,85927,130456,1094,1663,2079,378,589,769,345,526,683,4,26,0,0,0,7,0,0,0,6,204
63,19.9093658,50.0642064,37273,63533,106095,470,1109,2583,119,238,338,91,187,251,16,61,0,2,7,39,0,0,1,13,200
64,19.9368234,50.0642064,45343,80893,126877,5357,9046,13385,683,1078,1518,430,675,958,24,81,2,4,30,83,1,1,0,17,218
65,19.964281,50.0642064,40585,76360,121933,4505,8144,11170,200,365,698,136,254,519,15,45,1,2,22,59,0,2,1,18,202
66,19.9917386,50.0642064,33705,42038,60763,49,56,606,17,18,42,10,11,31,3,33,0,0,8,28,2,2,2,22,196
67,20.0191962,50.0642064,31064,54365,83358,2008,2600,4960,72,117,241,50,80,184,10,39,0,2,4,36,0,2,3,15,199
68,20.0466538,50.0642064,39256,61200,86750,1851,3049,4828,117,167,265,92,133,211,7,24,0,1,6,22,0,0,1,7,200
69,20.074111399999996,50.0642064,32989,57819,74411,181,253,258,84,115,118,72,98,100,0,7,0,0,10,20,0,0,0,2,204
70,19.826993,50.07516079999999,31705,41696,68008,131,197,371,58,78,118,36,49,86,0,11,0,0,0,0,0,0,0,0,231
71,19.854450600000003,50.07516079999999,48574,64732,108252,181,385,761,62,140,270,54,116,225,3,17,0,0,0,0,0,0,0,1,206
72,19.8819082,50.07516079999999,52089,89167,128008,1192,5768,7623,411,486,637,375,419,529,16,38,0,0,4,10,0,0,1,7,209
73,19.9093658,50.07516079999999,43883,75767,124215,6546,11830,16121,218,512,728,160,363,537,17,75,1,2,11,26,0,0,2,15,213
74,19.9368234,50.07516079999999,44387,75202,116518,3699,7473,12121,284,530,849,179,361,595,19,93,0,3,12,57,0,2,1,18,222
75,19.964281,50.07516079999999,46152,81986,128083,3679,5998,9663,551,902,1520,494,799,1340,11,59,0,3,1,40,0,3,1,16,208
76,19.9917386,50.07516079999999,29701,54908,87448,872,1471,4597,34,104,146,17,70,100,6,58,0,2,7,31,0,5,0,21,210
77,20.0191962,50.07516079999999,34251,64777,103413,1935,4787,11662,107,228,358,66,158,258,17,66,2,2,22,49,1,3,5,17,211
78,20.0466538,50.07516079999999,38536,63760,102500,9808,15788,23238,125,228,344,89,163,255,18,35,0,1,11,44,0,0,1,7,211
79,20.074111399999996,50.07516079999999,4228,4228,13800,0,0,3,0,0,2,0,0,1,1,8,0,0,6,31,0,0,0,2,226
80,19.826993,50.0861152,15437,25291,43531,125,176,279,40,73,118,32,60,93,4,11,0,0,0,0,0,0,0,0,229
81,19.854450600000003,50.0861152,25289,41034,73900,1113,1765,2488,82,152,308,56,117,249,8,18,0,0,0,0,0,0,0,2,233
82,19.8819082,50.0861152,42421,79735,125861,1363,1989,3236,291,447,598,238,353,460,17,31,0,0,4,8,0,1,2,7,239
83,19.9093658,50.0861152,47287,83925,131279,9239,11625,16593,479,641,802,404,521,642,16,66,0,2,0,19,0,2,2,12,225
84,19.9368234,50.0861152,48381,80059,127853,6825,9608,14489,186,259,506,134,191,369,30,80,1,1,6,14,1,1,4,14,223
85,19.964281,50.0861152,46378,81630,126198,6328,11538,16854,364,563,1089,307,465,918,22,72,0,1,0,3,0,1,4,18,210
86,19.9917386,50.0861152,21546,51327,89041,2748,4357,10310,36,58,121,27,43,85,18,61,1,1,0,17,1,2,4,17,222
87,20.0191962,50.0861152,38281,68554,107057,14191,22385,29637,171,301,474,75,124,205,21,70,0,2,11,51,0,2,0,13,224
88,20.0466538,50.0861152,39544,61258,95436,404,1094,2837,137,224,357,98,164,275,6,55,0,1,6,46,0,0,1,7,208
89,20.074111399999996,50.0861152,25450,42553,64174,0,0,12,0,0,3,0,0,2,1,14,0,0,9,20,0,0,0,4,220
90,19.826993,50.0970696,18710,40655,71284,117,343,705,79,189,386,53,118,261,1,11,0,0,0,0,0,0,0,0,264
91,19.854450600000003,50.0970696,18145,18145,36400,16,16,227,14,14,61,8,8,38,0,13,0,0,0,0,0,0,0,2,242
92,19.8819082,50.0970696,47526,86151,129709,1387,2170,2533,341,552,655,320,502,583,1,22,0,0,0,4,0,1,0,5,242
93,19.9093658,50.0970696,52975,86944,123340,651,1244,3226,256,347,671,228,306,578,3,35,0,0,0,2,1,1,1,11,219
94,19.9368234,50.0970696,37446,64873,105535,2704,4185,6038,204,329,418,168,270,341,21,63,0,1,0,6,0,1,1,12,220
95,19.964281,50.0970696,47300,84408,128421,2977,8703,14925,164,305,478,103,219,353,17,57,0,1,0,0,0,1,2,13,223
96,19.9917386,50.0970696,41836,64576,102351,4984,9650,16393,257,323,447,229,268,358,6,41,0,1,4,12,0,2,0,10,241
97,20.0191962,50.0970696,34475,65339,91493,10848,15864,21184,198,344,436,151,271,327,9,41,0,0,10,25,0,1,0,9,228
98,20.0466538,50.0970696,34719,52243,77776,2080,4398,5547,358,461,542,342,435,507,11,36,0,0,0,17,0,0,0,3,266
99,20.074111399999996,50.0970696,38708,66242,104494,863,1368,2600,293,470,669,235,378,532,5,17,0,0,1,14,0,0,1,2,230
